lat,lon,class,source
29.55639,110.20278,1,Academic_206
29.4075,110.12333,1,Academic_206
29.39028,110.11694,1,Academic_206
29.53325,110.93853,1,Academic_206
29.55639,110.20972,1,Academic_206
29.43333,110.15139,1,Academic_206
29.43769,110.91386,1,Academic_206
29.44889,110.52583,1,Academic_206
29.59428,111.23756,1,Academic_206
29.46139,111.16361,1,Academic_206
29.43444,110.16722,1,Academic_206
29.43861,110.18611,1,Academic_206
29.41136,110.48069,1,Academic_206
29.42011,110.48958,1,Academic_206
29.38772,110.48272,1,Academic_206
29.27081,110.51189,1,Academic_206
29.36506,110.31897,1,Academic_206
29.46444,110.68389,1,Academic_206
29.565,111.27528,1,Academic_206
29.28283,110.62881,1,Academic_206
29.45028,110.39444,1,Academic_206
29.62556,110.59833,1,Academic_206
29.27233,110.52347,1,Academic_206
29.39472,110.14972,1,Academic_206
29.32083,110.47583,1,Academic_206
29.54056,110.85556,1,Academic_206
29.46253,110.67094,1,Academic_206
29.51472,111.18778,1,Academic_206
29.57278,110.15889,1,Academic_206
29.44378,110.16292,1,Academic_206
29.41,110.03694,1,Academic_206
29.28364,110.44519,1,Academic_206
29.38044,110.36692,1,Academic_206
29.47278,110.19694,1,Academic_206
29.53258,111.02108,1,Academic_206
29.4625,109.79417,1,Academic_206
29.16917,110.38583,1,Academic_206
29.16917,110.38583,1,Academic_206
29.37406,110.31614,1,Academic_206
29.565,110.01944,1,Academic_206
29.47603,110.66475,1,Academic_206
29.36389,110.30111,1,Academic_206
29.37822,110.37792,1,Academic_206
29.50736,110.91164,1,Academic_206
29.45753,110.69636,1,Academic_206
29.39361,110.09083,1,Academic_206
29.42583,110.19722,1,Academic_206
29.572,111.06906,1,Academic_206
29.27917,110.28472,1,Academic_206
29.28997,110.46453,1,Academic_206
29.67444,110.72886,1,Academic_206
29.51417,109.95389,1,Academic_206
29.40561,110.41314,1,Academic_206
29.31,110.43278,1,Academic_206
29.38078,110.31347,1,Academic_206
29.28153,110.44617,1,Academic_206
29.64953,110.83022,1,Academic_206
29.64089,110.92342,1,Academic_206
29.63414,110.98208,1,Academic_206
29.60786,110.83489,1,Academic_206
29.59794,110.74833,1,Academic_206
29.58564,111.233,1,Academic_206
29.57972,110.39861,1,Academic_206
29.55056,109.95778,1,Academic_206
29.42,110.16083,1,Academic_206
29.34889,110.16,1,Academic_206
29.42,110.16084,1,Academic_206
